,click,C1,banner_pos,site_domain,site_category,app_domain,app_category,device_id,device_ip,device_model,device_type,device_conn_type,C15,C16,date,time,user_id,device_ip_count,device_id_count,user_count,user_hour_count,user_bagged
75,0,1005,0,275,1,12,0,438,2761,814,1,0,320,50,0,4,2909,720,720,720,199,232
76,0,1010,1,225,4,12,2,388,2130,406,4,0,320,50,0,4,2435,1499,1499,1499,199,256
77,0,1005,0,164,3,12,0,438,958,654,1,0,320,50,0,4,993,1,1,1,199,232
78,0,1005,1,94,12,12,0,438,3689,393,1,0,320,50,0,4,3893,33,33,33,199,232
79,0,1005,0,6,12,12,0,438,1863,205,1,0,320,50,0,4,1946,8,8,8,199,232
80,1,1005,0,225,4,8,2,653,2824,856,1,0,320,50,0,4,4092,1499,1499,1499,199,219
81,0,1005,1,15,12,12,0,438,1141,393,1,0,320,50,0,4,1195,79,79,79,199,232
82,0,1005,0,225,4,20,6,438,3469,764,1,2,320,50,0,4,3658,1499,1499,1499,199,128
83,0,1002,0,225,4,12,0,523,2913,709,0,0,320,50,0,4,3289,4,4,4,199,232
84,0,1005,0,225,4,3,2,438,63,271,1,0,320,50,0,4,71,1499,1499,1499,199,28
85,0,1005,1,175,12,12,0,438,3527,436,1,0,320,50,0,4,3715,99,99,99,199,232
86,0,1002,0,134,4,12,0,349,3159,37,0,0,320,50,0,4,2260,2,2,2,199,232
87,0,1005,1,175,12,12,0,438,803,19,1,0,320,50,0,4,837,99,99,99,199,232
88,0,1005,0,225,4,3,2,438,3364,763,1,2,320,50,0,4,3539,1499,1499,1499,199,137
89,1,1005,0,275,1,12,0,438,1985,526,1,0,320,50,0,4,2077,720,720,720,199,232
90,1,1005,0,275,1,12,0,438,878,294,1,0,320,50,0,4,916,720,720,720,199,232
91,0,1005,1,118,3,12,0,438,1162,456,1,0,320,50,0,4,1215,1,1,1,199,232
92,0,1002,0,3,4,12,0,279,3892,478,0,0,320,50,0,4,1834,3,3,3,199,232
93,0,1005,0,216,12,12,0,438,1532,805,1,0,320,50,0,4,1603,23,23,23,199,232
94,0,1005,0,225,4,3,9,438,2622,114,1,2,320,50,0,5,2760,1499,1499,1499,208,44
95,0,1005,0,225,4,3,12,438,3460,736,1,0,320,50,0,5,3646,1499,1499,1499,208,148
96,0,1005,0,246,1,12,0,438,967,453,1,0,320,50,0,5,1001,16,16,16,208,232
97,1,1005,1,83,12,12,0,438,3530,362,1,0,320,50,0,5,3719,24,24,24,208,232
98,0,1005,0,225,4,3,2,438,819,225,1,2,320,50,0,5,853,1499,1499,1499,208,94
99,1,1005,0,225,4,3,2,438,2031,3,1,0,320,50,0,5,2127,1499,1499,1499,208,99
100,0,1005,0,171,12,12,0,438,108,393,1,0,320,50,0,5,115,35,35,35,208,232
101,0,1005,1,225,12,12,0,438,1216,374,1,0,320,50,0,5,1268,2,2,2,208,232
102,0,1005,1,15,12,12,0,438,386,17,1,0,320,50,0,5,412,79,79,79,208,232
103,1,1005,1,111,3,12,0,438,3674,863,1,0,320,50,0,5,3879,1,1,1,208,232
104,0,1005,0,225,4,3,12,438,1739,531,1,2,320,50,0,5,1827,1499,1499,1499,208,48
105,0,1005,0,225,4,27,2,438,1381,516,1,0,320,50,0,5,1444,1499,1499,1499,208,21
106,0,1005,0,147,3,12,0,438,3417,578,1,0,320,50,0,5,3596,1,1,1,208,232
107,0,1005,0,225,4,12,2,435,1229,276,1,0,320,50,0,5,2718,1499,1499,1499,208,37
108,0,1005,0,275,1,12,0,438,2624,453,1,0,320,50,0,5,2762,720,720,720,208,233
109,0,1005,0,275,1,12,0,438,2624,453,1,0,320,50,8,12,2762,720,720,720,209,233
110,0,1005,0,225,4,8,2,425,1025,805,1,0,320,50,0,5,2650,1499,1499,1499,208,219
111,0,1005,0,104,12,12,0,438,2176,347,1,0,300,250,0,5,2275,1,1,1,208,232
112,0,1005,0,171,12,12,0,438,1375,453,1,0,320,50,0,5,1436,35,35,35,208,232
113,0,1002,0,61,4,12,0,175,993,827,0,0,320,50,0,5,1101,2,2,2,208,232
114,0,1005,1,175,12,12,0,438,2513,123,1,0,320,50,0,5,2645,99,99,99,208,232
115,1,1005,0,225,4,3,12,438,828,418,1,0,320,50,0,5,865,1499,1499,1499,208,148
116,1,1005,0,225,4,11,2,12,551,377,1,0,320,50,0,5,63,1499,1499,1499,208,98
117,0,1005,0,275,1,12,0,438,3489,453,1,0,320,50,0,5,3676,720,720,720,208,236
118,0,1005,0,275,1,12,0,438,3489,453,1,0,320,50,0,18,3676,720,720,720,170,236
119,0,1005,0,275,1,12,0,438,3489,453,1,0,320,50,8,15,3676,720,720,720,229,236
120,0,1005,0,225,4,3,2,438,1137,540,1,0,320,50,0,5,1190,1499,1499,1499,208,38
121,1,1005,0,225,4,11,2,336,2792,293,1,2,320,50,0,5,2162,1499,1499,1499,208,98
122,0,1005,0,225,4,11,2,438,1447,575,1,0,320,50,0,5,1519,1499,1499,1499,208,98
123,1,1002,0,225,4,12,0,484,973,570,0,0,320,50,0,5,3012,1499,1499,1499,208,11
124,0,1005,0,225,4,8,2,438,1436,742,1,0,320,50,0,5,1507,1499,1499,1499,208,219
125,0,1005,0,239,1,12,0,438,427,676,1,0,320,50,0,5,458,14,14,14,208,232
126,0,1005,0,225,4,3,2,438,293,615,1,0,320,50,0,5,315,1499,1499,1499,208,242
127,0,1010,1,225,4,12,1,616,1808,818,4,3,320,50,0,5,3859,1499,1499,1499,208,42
128,0,1005,0,225,4,3,9,497,2435,605,1,3,300,250,0,5,3078,1499,1499,1499,208,32
129,0,1005,0,225,4,8,2,512,2034,413,1,0,320,50,0,5,3160,1499,1499,1499,208,219
130,0,1005,0,225,4,3,12,438,726,123,1,0,320,50,0,6,755,1499,1499,1499,173,148
131,0,1005,0,275,1,12,0,438,433,571,1,0,320,50,0,6,464,720,720,720,173,232
132,0,1005,0,275,1,12,0,438,3796,540,1,0,320,50,0,6,4010,720,720,720,173,232
133,0,1002,0,265,4,12,0,310,3480,10,0,0,320,50,0,6,2038,5,5,5,173,232
134,0,1005,0,275,1,12,0,438,2894,823,1,0,320,50,0,6,3052,720,720,720,173,232
135,0,1005,0,225,4,3,2,557,2221,676,1,0,320,50,0,6,3532,1499,1499,1499,173,52
136,0,1005,0,275,1,12,0,438,458,651,1,0,320,50,0,6,486,720,720,720,173,232
137,0,1005,0,225,4,3,6,629,1492,406,1,0,320,50,0,6,3923,1499,1499,1499,173,179
138,0,1005,0,275,1,12,0,438,3266,676,1,0,320,50,0,6,3430,720,720,720,173,232
139,0,1005,0,254,12,12,0,438,443,271,1,0,300,250,0,6,473,3,3,3,173,232
140,0,1005,0,41,12,12,0,438,842,761,1,0,320,50,0,6,876,37,37,37,173,232
141,0,1005,0,98,12,12,0,438,2330,638,1,0,320,50,0,6,2453,3,3,3,173,232
142,0,1005,0,225,4,8,2,353,1518,67,1,0,320,50,0,6,2269,1499,1499,1499,173,219
143,0,1005,0,275,1,12,0,438,2643,67,1,0,320,50,0,6,2781,720,720,720,173,232
144,0,1005,0,225,4,3,6,438,3427,276,1,0,320,50,0,6,3607,1499,1499,1499,173,218
145,0,1005,0,225,4,3,6,265,797,123,1,0,320,50,0,6,1699,1499,1499,1499,173,1
146,1,1005,1,137,12,12,0,438,230,793,1,0,216,36,0,6,248,266,266,266,173,232
147,0,1005,0,225,4,8,2,483,2458,779,1,0,320,50,0,6,3009,1499,1499,1499,173,219
148,0,1005,0,225,4,3,2,641,2671,763,1,2,320,50,0,6,4007,1499,1499,1499,173,86
149,0,1005,1,83,12,12,0,438,2322,453,1,0,320,50,0,6,2444,24,24,24,173,232
150,0,1005,1,94,12,12,0,438,2896,738,1,0,320,50,0,6,3054,33,33,33,173,232
151,0,1005,0,225,4,5,9,438,734,665,1,0,320,50,0,6,763,1499,1499,1499,173,59
152,0,1005,1,175,12,12,0,438,2394,248,1,0,320,50,0,6,2529,99,99,99,173,232
153,0,1005,1,137,12,12,0,438,974,170,1,0,320,50,0,6,1008,266,266,266,173,232
154,0,1005,0,225,4,8,2,438,2605,701,1,2,728,90,0,6,2745,1499,1499,1499,173,219
155,0,1005,0,225,4,3,9,136,2465,190,1,3,320,50,0,7,839,1499,1499,1499,174,131
156,0,1005,0,225,4,3,2,438,3899,225,1,2,320,50,0,7,4117,1499,1499,1499,174,242
157,0,1005,1,137,12,12,0,438,455,745,1,0,320,50,0,7,484,266,266,266,174,232
158,0,1005,1,142,1,12,0,438,3178,754,1,0,320,50,0,7,3347,15,15,15,174,232
159,0,1005,0,225,4,11,2,438,1405,746,1,0,320,50,0,7,1474,1499,1499,1499,174,98
160,1,1005,0,225,4,3,12,438,614,639,1,0,320,50,0,7,641,1499,1499,1499,174,148
161,0,1005,0,41,12,12,0,438,2874,26,1,0,320,50,0,7,3028,37,37,37,174,232
162,0,1005,0,275,1,12,0,438,491,271,1,0,320,50,0,7,520,720,720,720,174,232
163,1,1005,1,83,12,12,0,438,1414,92,1,0,320,50,0,7,1482,24,24,24,174,232
164,0,1002,0,59,4,12,0,401,2331,246,0,0,320,50,0,7,2520,1,1,1,174,232
165,0,1005,0,206,12,12,0,438,113,746,1,0,320,50,0,7,119,6,6,6,174,232
166,0,1005,1,83,12,12,0,438,2720,453,1,0,320,50,0,7,2868,24,24,24,174,232
167,0,1005,1,16,12,12,0,438,1598,746,1,0,320,50,0,7,1680,27,27,27,174,232
168,0,1005,0,225,4,3,6,384,1435,373,1,3,320,50,0,7,2408,1499,1499,1499,174,100
169,0,1005,0,225,4,3,2,414,908,651,1,0,320,50,0,7,2597,1499,1499,1499,174,86
170,1,1005,0,275,1,12,0,438,379,453,1,0,320,50,0,7,404,720,720,720,174,232
171,0,1005,1,15,12,12,0,438,416,216,1,0,320,50,0,8,440,79,79,79,201,232
172,0,1005,1,7,12,12,0,438,2275,440,1,0,320,50,0,8,2390,30,30,30,201,232
173,0,1005,0,125,3,12,0,438,1892,589,1,0,300,250,0,8,1981,97,97,97,201,232
174,1,1005,0,178,3,12,0,438,2985,393,1,0,320,50,0,8,3149,6,6,6,201,232
175,0,1005,1,114,12,12,0,438,871,578,1,0,320,50,0,8,907,6,6,6,201,232
176,0,1002,0,243,4,12,0,283,467,541,0,0,320,50,0,8,1845,1,1,1,201,232
177,0,1005,0,225,4,3,9,527,3048,677,1,3,320,50,0,8,3316,1499,1499,1499,201,131
178,0,1005,0,225,4,28,9,438,2855,746,1,0,320,50,0,8,3003,1499,1499,1499,201,230
179,0,1005,0,275,1,12,0,438,24,453,1,0,320,50,0,8,28,720,720,720,201,232
180,0,1005,0,225,4,3,12,438,1690,94,1,2,320,50,0,8,1785,1499,1499,1499,201,148
181,0,1005,0,225,4,3,6,622,3313,35,1,0,320,50,0,8,3899,1499,1499,1499,201,208
182,0,1005,0,275,1,12,0,438,3036,271,1,0,320,50,0,8,3204,720,720,720,201,232
183,0,1005,0,286,3,12,0,438,3551,273,1,0,320,50,0,8,3739,2,2,2,201,232
184,0,1005,1,91,12,12,0,438,1311,638,1,0,320,50,0,8,1368,89,89,89,201,232
185,0,1005,0,275,1,12,0,438,3126,338,1,0,320,50,0,8,3291,720,720,720,201,232
186,0,1005,1,91,12,12,0,438,3107,638,1,0,320,50,0,8,3272,89,89,89,201,232
187,0,1005,0,246,1,12,0,438,2462,589,1,0,320,50,0,8,2590,16,16,16,201,232
188,0,1005,0,225,4,9,10,178,1916,225,1,2,320,50,0,9,1118,1499,1499,1499,252,69
189,0,1005,0,225,4,3,12,438,2651,814,1,0,320,50,0,9,2788,1499,1499,1499,252,18
190,0,1005,0,225,4,3,12,438,1030,560,1,0,320,50,0,9,1074,1499,1499,1499,252,18
191,0,1005,0,216,12,12,0,438,1609,402,1,0,320,50,0,9,1690,23,23,23,252,232
192,1,1005,1,175,12,12,0,438,3356,805,1,0,320,50,0,9,3525,99,99,99,252,232
193,0,1002,0,115,4,12,0,249,25,246,0,0,300,50,0,9,1562,3,3,3,252,232
194,0,1005,0,225,4,3,2,438,3732,495,1,0,320,50,0,9,3938,1499,1499,1499,252,168
195,0,1005,0,225,4,3,12,438,984,406,1,0,320,50,0,9,1020,1499,1499,1499,252,18
196,0,1005,0,96,12,12,0,438,834,484,1,0,320,50,0,9,871,17,17,17,252,232
197,0,1005,0,275,1,12,0,438,189,116,1,0,320,50,0,9,204,720,720,720,252,232
198,0,1002,0,225,4,12,0,555,831,130,0,0,320,50,0,9,3520,1499,1499,1499,252,35
199,0,1005,1,15,12,12,0,438,3292,681,1,0,320,50,0,9,3458,79,79,79,252,232
200,0,1005,1,15,12,12,0,438,539,393,1,0,320,50,0,9,564,79,79,79,252,232
201,0,1005,0,225,4,9,10,426,3442,639,1,0,320,50,0,9,2659,1499,1499,1499,252,69
202,0,1002,0,120,4,12,0,654,2059,538,0,0,320,50,0,9,4094,1,1,1,252,232
203,0,1005,1,211,12,12,0,438,3788,362,1,0,320,50,0,9,3998,40,40,40,252,232
204,0,1005,0,225,4,11,2,438,152,471,1,2,320,50,0,9,161,1499,1499,1499,252,98
205,0,1005,1,142,1,12,0,438,3625,738,1,0,320,50,0,9,3821,15,15,15,252,232
206,0,1005,0,275,1,12,0,438,3244,322,1,2,320,50,0,10,3408,720,720,720,232,232
207,0,1005,0,225,4,24,2,438,1805,123,1,0,320,50,0,10,1893,1499,1499,1499,232,159
208,0,1005,0,225,4,8,2,438,2904,62,1,2,320,50,0,10,3067,1499,1499,1499,232,219
209,0,1005,0,2,12,12,0,438,54,268,1,0,320,50,0,10,58,1,1,1,232,232
210,0,1005,1,224,12,12,0,438,2445,532,1,0,320,50,0,10,2575,34,34,34,232,232
211,0,1005,1,4,2,12,0,438,2188,258,1,0,320,50,0,10,2286,4,4,4,232,232
212,1,1005,0,175,12,12,0,438,3171,123,1,0,320,50,0,10,3340,99,99,99,232,232
213,0,1002,0,232,4,12,0,304,905,77,0,0,320,50,0,10,1996,2,2,2,232,232
214,0,1005,1,7,12,12,0,438,3397,393,1,0,320,50,0,10,3575,30,30,30,232,232
215,0,1005,0,225,4,6,12,438,147,85,1,0,320,50,0,10,156,1499,1499,1499,232,14
216,1,1002,0,225,4,12,0,169,221,709,0,0,320,50,0,10,1042,4,4,4,232,232
217,0,1005,0,225,4,20,2,438,2076,777,1,2,320,50,0,10,2174,1499,1499,1499,232,211
218,0,1005,0,125,3,12,0,438,504,302,1,0,300,250,0,10,533,97,97,97,232,232
219,0,1005,0,225,4,8,2,620,1369,368,1,0,320,50,0,10,3876,1499,1499,1499,232,219
220,0,1005,1,83,12,12,0,438,903,453,1,0,320,50,0,10,938,24,24,24,232,232
221,0,1005,0,275,1,12,0,438,2305,676,1,0,320,50,0,10,2428,720,720,720,232,232
222,0,1005,0,225,4,15,2,438,1211,174,1,0,320,50,0,10,1263,1499,1499,1499,232,255
223,0,1005,1,260,12,12,0,438,2642,448,1,0,320,50,0,10,2780,3,3,3,232,232
224,0,1005,0,205,12,12,0,438,1949,805,1,0,320,50,0,10,2037,2,2,2,232,232
225,0,1005,0,125,3,12,0,438,1424,438,1,0,300,250,0,10,1496,17,17,17,232,232
226,0,1005,0,171,12,12,0,438,1444,155,1,0,320,50,0,11,1514,35,35,35,229,232
227,0,1005,0,225,4,2,2,119,646,547,1,5,320,50,0,11,772,1499,1499,1499,229,70
228,0,1005,1,16,12,12,0,438,1038,473,1,0,320,50,0,11,1086,27,27,27,229,232
229,0,1005,0,275,1,12,0,438,846,568,1,0,320,50,0,11,880,720,720,720,229,232
230,0,1005,0,275,1,12,0,438,2562,456,1,0,320,50,0,11,2695,720,720,720,229,232
231,0,1005,0,275,1,12,0,438,1705,613,1,0,320,50,0,11,1798,720,720,720,229,232
232,0,1005,1,38,1,12,0,438,3778,638,1,0,320,50,0,11,3989,4,4,4,229,232
233,0,1005,1,15,12,12,0,438,208,453,1,0,320,50,0,11,225,79,79,79,229,232
234,1,1005,0,275,1,12,0,438,2957,219,1,0,320,50,0,11,3119,720,720,720,229,232
235,0,1005,0,225,4,30,2,438,13,609,1,0,320,50,0,11,17,1499,1499,1499,229,176
236,0,1005,0,225,4,30,2,438,13,609,1,0,320,50,4,13,17,1499,1499,1499,245,176
237,1,1005,0,275,1,12,0,438,915,746,1,0,320,50,0,11,950,720,720,720,229,232
238,0,1005,0,225,4,21,2,438,3798,289,1,0,320,50,0,11,4011,1499,1499,1499,229,83
239,1,1005,1,16,12,12,0,438,2396,453,1,0,320,50,0,11,2531,27,27,27,229,232
240,0,1005,0,225,4,3,6,438,1722,123,1,0,320,50,0,11,1811,1499,1499,1499,229,218
241,0,1005,0,275,1,12,0,438,2917,276,1,0,320,50,0,11,3079,720,720,720,229,232
242,0,1005,0,125,3,12,0,438,660,484,1,0,300,250,0,11,688,22,22,22,229,232
243,1,1005,0,225,4,11,2,438,1974,67,1,0,320,50,0,11,2066,1499,1499,1499,229,98
244,0,1005,1,175,12,12,0,438,1932,490,1,2,320,50,0,11,2023,99,99,99,229,232
245,1,1005,0,261,1,12,0,438,441,144,1,0,320,50,0,11,471,11,11,11,229,232
246,1,1005,0,125,3,12,0,438,3746,347,1,0,300,250,0,12,3955,97,97,97,209,232
247,0,1005,0,194,12,12,0,438,3599,226,1,0,320,50,0,12,3790,21,21,21,209,232
248,0,1005,0,197,1,12,0,438,1661,358,1,0,300,250,0,12,1747,1,1,1,209,232
249,1,1005,0,225,4,21,2,438,130,289,1,0,320,50,0,12,136,1499,1499,1499,209,83
250,0,1005,1,16,12,12,0,438,521,453,1,0,320,50,0,12,546,27,27,27,209,232
251,0,1005,0,64,13,12,0,438,1865,746,1,0,320,50,0,12,1947,2,2,2,209,232
252,0,1005,1,224,12,12,0,438,2776,347,1,0,320,50,0,12,2927,34,34,34,209,232
253,1,1005,1,137,12,12,0,438,3242,67,1,0,320,50,0,12,3406,266,266,266,209,232
254,1,1005,1,137,12,12,0,438,2088,276,1,0,320,50,0,12,2183,266,266,266,209,232
255,1,1005,1,175,12,12,0,438,2374,436,1,0,320,50,0,13,2505,99,99,99,245,232
256,0,1005,1,142,1,12,0,438,356,678,1,0,320,50,0,13,379,15,15,15,245,232
257,0,1005,0,275,1,12,0,438,3871,338,1,0,320,50,0,13,4086,720,720,720,245,232
258,0,1005,1,66,3,12,0,438,673,397,1,0,320,50,0,13,702,16,16,16,245,232
259,0,1005,0,225,4,3,2,438,1193,253,1,2,320,50,0,13,1245,1499,1499,1499,245,242
260,0,1005,0,225,4,20,2,438,1979,777,1,3,320,50,0,13,2071,1499,1499,1499,245,139
261,0,1005,0,275,1,12,0,438,1855,248,1,0,320,50,0,13,1937,720,720,720,245,232
262,0,1005,0,236,12,12,0,438,129,110,1,0,320,50,0,13,135,3,3,3,245,232
263,0,1005,1,211,12,12,0,438,2333,17,1,0,320,50,0,13,2456,40,40,40,245,232
264,0,1005,1,225,4,3,2,123,1807,175,1,0,320,50,0,13,795,1499,1499,1499,245,16
265,0,1005,0,275,1,12,0,438,121,333,1,0,320,50,0,13,128,720,720,720,245,232
266,0,1005,0,275,1,12,0,438,1433,205,1,0,320,50,0,13,1505,720,720,720,245,232
267,1,1005,1,15,12,12,0,438,3168,448,1,0,320,50,0,13,3336,79,79,79,245,232
268,0,1005,1,15,12,12,0,438,1488,226,1,0,320,50,0,13,1560,79,79,79,245,232
269,0,1005,0,225,4,3,2,438,3009,864,1,2,320,480,0,13,3179,1499,1499,1499,245,142
270,0,1005,0,275,1,12,0,438,3326,623,1,0,320,50,0,13,3495,720,720,720,245,232
271,0,1002,0,225,4,12,0,636,2410,246,0,0,320,50,0,13,3979,1499,1499,1499,245,33
272,0,1005,0,96,12,12,0,438,2666,644,1,0,320,50,0,13,2807,17,17,17,245,232
273,0,1005,0,275,1,12,0,438,1869,67,1,0,320,50,0,13,1951,720,720,720,245,232
274,0,1005,0,225,4,3,12,255,2773,706,1,2,320,50,0,13,1626,1499,1499,1499,245,172
275,1,1005,0,275,1,12,0,438,3137,134,1,0,320,50,0,13,3300,720,720,720,245,232
276,0,1005,0,235,8,12,0,438,3587,184,1,0,320,50,0,13,3776,2,2,2,245,232
277,0,1005,0,225,4,3,2,270,273,676,1,0,320,50,0,13,1737,1499,1499,1499,245,221
278,0,1005,0,225,4,3,12,438,1387,671,1,0,320,50,0,14,1451,1499,1499,1499,211,148
