,Unnamed: 0,Unnamed: 0.1,id,click,hour,C1,banner_pos,site_id,site_domain,site_category,app_id,app_domain,app_category,device_id,device_ip,device_model,device_type,device_conn_type,C14,C15,C16,C17,C18,C19,C20,C21
14,14,1323,11767312764841097694,0,14102101,1005,0,12fb4121,6b59f079,f028772b,ecad2386,7801e8d9,07d7df22,a99f214a,f21fa794,ac2f565a,1,0,20966,320,50,2372,0,813,-1,46
15,15,1368,12408306582769449508,0,14102101,1005,0,1fbe01fe,f3845767,28905ebd,ecad2386,7801e8d9,07d7df22,a99f214a,55cd2334,977a2929,1,2,15701,320,50,1722,0,35,-1,79
16,16,1387,12659463880857647650,0,14102101,1005,1,fd309fe8,f436b08f,72722551,ecad2386,7801e8d9,07d7df22,a99f214a,dfcfbac1,88fe1d5d,1,0,20596,320,50,2161,0,35,-1,157
17,17,1441,13359399510587322432,1,14102101,1005,1,17caea14,0dde25ec,f028772b,ecad2386,7801e8d9,07d7df22,a99f214a,f0c0a72f,76dc4769,1,0,16208,320,50,1800,3,167,100077,23
18,18,1447,13384221001865720388,1,14102101,1005,1,cffc1324,bc63ea42,335d28a8,ecad2386,7801e8d9,07d7df22,a99f214a,fd35b1f1,7abbbd5c,1,0,18993,320,50,2161,0,35,-1,157
19,19,1595,14938246753064761648,0,14102101,1005,1,e151e245,7e091613,f028772b,ecad2386,7801e8d9,07d7df22,a99f214a,695c9a40,0205329f,1,0,17037,320,50,1934,2,39,-1,16
20,20,1801,17294434026273545766,0,14102101,1005,0,1fbe01fe,f3845767,28905ebd,ecad2386,7801e8d9,07d7df22,a99f214a,69844297,a0f5f879,1,0,15706,320,50,1722,0,35,100083,79
21,21,1927,2080766459699635376,0,14102101,1005,0,85f751fd,c4e18dd6,50e219e0,fc46e1c5,2347f47a,0f2161f8,a99f214a,807bcb5f,35dfe54d,1,0,463,320,50,122,3,1319,100022,15
22,22,2026,3292545789301911122,0,14102101,1005,1,5ee41ff2,17d996e6,f028772b,ecad2386,7801e8d9,07d7df22,a99f214a,92aaf11f,8a4875bd,1,0,16920,320,50,1899,0,431,-1,117
23,23,2055,3647076269768415678,0,14102101,1005,0,1fbe01fe,f3845767,28905ebd,ecad2386,7801e8d9,07d7df22,a99f214a,25451774,8a4875bd,1,0,15699,320,50,1722,0,35,100084,79
24,24,2087,4081279172564431318,0,14102101,1005,0,f282ab5a,61eb5bc4,f028772b,ecad2386,7801e8d9,07d7df22,a99f214a,7d9a7dd2,8a4875bd,1,0,20596,320,50,2161,0,35,-1,157
25,25,2097,4193593572558940153,0,14102101,1005,0,6399eda6,968765cd,f028772b,ecad2386,7801e8d9,07d7df22,a99f214a,c9e7d105,1ccc7835,1,0,16208,320,50,1800,3,167,100075,23
26,26,2102,4256729265782636456,0,14102101,1005,0,6399eda6,968765cd,f028772b,ecad2386,7801e8d9,07d7df22,a99f214a,ae063a8e,b66b1d85,1,0,19772,320,50,2227,0,687,100075,48
27,27,2145,4766862909733443401,0,14102101,1005,0,85f751fd,c4e18dd6,50e219e0,e2fcccd2,5c5a694b,0f2161f8,c31c9bb8,77f11de7,ecb851b2,1,0,20633,320,50,2374,3,39,100119,23
28,28,2231,585481186713945647,0,14102101,1005,0,1fbe01fe,f3845767,28905ebd,ecad2386,7801e8d9,07d7df22,a99f214a,9b1fe278,1aa0e912,1,0,15703,320,50,1722,0,35,-1,79
29,29,2350,7421042239366612677,0,14102101,1005,0,5b08c53b,7687a86e,3e814130,ecad2386,7801e8d9,07d7df22,a99f214a,7dab5500,76dc4769,1,0,17654,300,250,1994,2,39,100084,33
30,30,2645,10636394015447107620,0,14102102,1005,0,85f751fd,c4e18dd6,50e219e0,ee31973c,f3ad7798,cef3e649,ae5b56c1,11767177,8f6f861f,1,2,20596,320,50,2161,0,35,-1,157
31,31,2646,10643606369386950024,1,14102102,1005,0,d6137915,bb1ef334,f028772b,ecad2386,7801e8d9,07d7df22,a99f214a,fb7798aa,8a4875bd,1,0,20005,320,50,2283,0,163,-1,95
32,32,2679,10988451123756225634,0,14102102,1005,0,fb5257c2,d36a8247,335d28a8,ecad2386,7801e8d9,07d7df22,a99f214a,fc8ee724,d14c4241,1,0,21647,320,50,2487,1,547,-1,51
33,33,2819,12152168366510091565,1,14102102,1005,0,1fbe01fe,f3845767,28905ebd,ecad2386,7801e8d9,07d7df22,a99f214a,d2e12bce,2203a096,1,0,15705,320,50,1722,0,35,100084,79
34,34,2915,12931082022297255814,1,14102102,1005,0,1fbe01fe,f3845767,28905ebd,ecad2386,7801e8d9,07d7df22,a99f214a,805c0c6f,1f0bc64f,1,0,15707,320,50,1722,0,35,100084,79
35,35,2928,13105564758884913271,1,14102102,1005,1,d9750ee7,98572c79,f028772b,ecad2386,7801e8d9,07d7df22,a99f214a,b79e1ece,a0f5f879,1,0,17614,320,50,1993,2,1063,-1,33
36,36,2967,13375192662960715000,0,14102102,1005,0,11b0b28b,10989c88,f028772b,ecad2386,7801e8d9,07d7df22,a99f214a,a310969d,6e1e2240,1,0,8330,320,50,761,3,175,100074,23
37,37,3067,14183465722505765717,0,14102102,1005,0,85f751fd,c4e18dd6,50e219e0,d8784af5,2347f47a,8ded1f7a,4eeefde0,f7853e5a,dc70b0f9,1,0,16615,320,50,1863,3,39,-1,23
38,38,3080,14278330682606508944,0,14102102,1005,0,6399eda6,968765cd,f028772b,ecad2386,7801e8d9,07d7df22,a99f214a,1183ea93,f4ad58e6,1,0,21647,320,50,2487,1,547,-1,51
39,39,3154,14950398914233124702,0,14102102,1005,0,1fbe01fe,f3845767,28905ebd,ecad2386,7801e8d9,07d7df22,a99f214a,1920c388,3bd9e8e7,1,0,15703,320,50,1722,0,35,100084,79
40,40,3218,15461810005449633590,0,14102102,1002,0,85f751fd,c4e18dd6,50e219e0,5aa287d6,7801e8d9,07d7df22,da3579c6,03b96c47,9ba193f2,0,0,20362,320,50,2333,0,39,100183,157
41,41,3248,15719059043109859582,0,14102102,1005,0,1fbe01fe,f3845767,28905ebd,ecad2386,7801e8d9,07d7df22,a99f214a,203daa2f,81b42528,1,0,15708,320,50,1722,0,35,100084,79
42,42,3265,15873133544511328150,0,14102102,1005,1,e023ba3e,75f9ddc3,f028772b,ecad2386,7801e8d9,07d7df22,a99f214a,24085854,8a4875bd,1,0,16071,320,50,1784,2,175,-1,95
43,43,3360,16596891339976477926,0,14102102,1005,0,85f751fd,c4e18dd6,50e219e0,e2fcccd2,5c5a694b,0f2161f8,a99f214a,7a25e9e4,67fcfd53,1,0,19251,320,50,2201,3,35,-1,43
44,44,3362,16606162812290215215,0,14102102,1005,0,85f751fd,c4e18dd6,50e219e0,387bdb33,2347f47a,0f2161f8,7b8cf2a4,2f1ab82e,158e4944,1,2,21647,320,50,2487,1,547,-1,51
45,45,3445,17200839948241432466,0,14102102,1005,1,5b4d2eda,16a36ef3,f028772b,ecad2386,7801e8d9,07d7df22,a99f214a,58bb3cd4,76dc4769,1,0,19950,320,50,1800,3,167,100075,23
46,46,3518,17835408468744743869,0,14102102,1005,0,1fbe01fe,f3845767,28905ebd,ecad2386,7801e8d9,07d7df22,a99f214a,d04dc198,1f883dc7,1,0,15707,320,50,1722,0,35,100084,79
47,47,3536,17997149538187183489,0,14102102,1005,0,85f751fd,c4e18dd6,50e219e0,fd2f005f,ae637522,0f2161f8,a99f214a,551edc5b,01dbc3bc,1,2,21137,728,90,2418,0,423,100033,195
48,48,4021,5238818445243295148,0,14102102,1005,0,85f751fd,c4e18dd6,50e219e0,febd1138,82e27996,0f2161f8,a99f214a,ce206f9d,aad45b01,1,0,19743,320,50,2264,3,427,100000,61
49,49,4025,5274876307753142325,0,14102102,1005,0,85f751fd,c4e18dd6,50e219e0,0acbeaa3,45a51db4,f95efa07,a99f214a,bc675e99,8d96a23d,1,2,21647,320,50,2487,1,547,-1,51
50,50,4086,5684427057993218731,1,14102102,1005,1,d9750ee7,98572c79,f028772b,ecad2386,7801e8d9,07d7df22,a99f214a,0489ce3f,0eb711ec,1,0,17614,320,50,1993,2,1063,-1,33
51,51,4181,6331935596468278413,0,14102102,1005,0,1fbe01fe,f3845767,28905ebd,ecad2386,7801e8d9,07d7df22,a99f214a,9b590c6c,8a4875bd,1,0,21647,320,50,2487,1,547,-1,51
52,52,4438,8388189086644695232,0,14102102,1005,0,9b124c1e,db7a8013,f028772b,ecad2386,7801e8d9,07d7df22,a99f214a,bd5f1270,8a4875bd,1,0,20596,320,50,2161,0,35,-1,157
53,53,4545,9330869665953393579,0,14102102,1005,0,83a0ad1a,5c9ae867,f028772b,ecad2386,7801e8d9,07d7df22,a99f214a,309d2320,91c9c83e,1,0,19771,320,50,2227,0,687,100079,48
54,54,4815,11555422802839066076,0,14102103,1005,0,1fbe01fe,f3845767,28905ebd,ecad2386,7801e8d9,07d7df22,a99f214a,7bef074f,0eb711ec,1,0,15699,320,50,1722,0,35,-1,79
55,55,4915,12472948542481422016,0,14102103,1005,1,43d6df75,27e3c518,28905ebd,ecad2386,7801e8d9,07d7df22,a99f214a,30a9be51,5b211c0d,1,0,15706,320,50,1722,0,35,100084,79
56,56,4958,12794044205893548703,1,14102103,1005,1,e151e245,7e091613,f028772b,ecad2386,7801e8d9,07d7df22,a99f214a,f3be2f18,84ebbcd4,1,0,20359,216,36,2333,0,39,-1,157
57,57,5009,13255570918278408810,0,14102103,1005,0,1fbe01fe,f3845767,28905ebd,ecad2386,7801e8d9,07d7df22,a99f214a,5c33a781,fa61e8fe,1,0,15703,320,50,1722,0,35,100084,79
58,58,5198,14985980835607150063,0,14102103,1005,0,9b971c93,c1aa3c04,f028772b,ecad2386,7801e8d9,07d7df22,a99f214a,cbfbfaaf,be6db1d7,1,0,8330,320,50,761,3,175,100075,23
59,59,5239,15372633343001752390,0,14102103,1005,0,85f751fd,c4e18dd6,50e219e0,7e7baafa,2347f47a,0f2161f8,a99f214a,0a9d4dc6,d787e91b,1,0,19251,320,50,2201,3,35,100171,43
60,60,5498,1754353140855193081,0,14102103,1005,0,1fbe01fe,f3845767,28905ebd,ecad2386,7801e8d9,07d7df22,a99f214a,115ae296,1aa0e912,1,0,15703,320,50,1722,0,35,-1,79
61,61,5508,17651952830371240682,1,14102103,1005,0,1fbe01fe,f3845767,28905ebd,ecad2386,7801e8d9,07d7df22,a99f214a,baa83e9d,1f0bc64f,1,0,15701,320,50,1722,0,35,100084,79
62,62,5743,3149776556423627517,0,14102103,1005,0,85f751fd,c4e18dd6,50e219e0,e8937587,d9b5648e,0f2161f8,a99f214a,c4d4e2bd,aad45b01,1,0,21611,320,50,2480,3,299,100111,61
63,63,5777,3439721997874828972,0,14102103,1005,0,1fbe01fe,f3845767,28905ebd,ecad2386,7801e8d9,07d7df22,a99f214a,462bc8be,ecb851b2,1,0,15707,320,50,1722,0,35,100084,79
64,64,5971,4995215704460580539,0,14102103,1005,1,92c7cbe7,6e882918,75fa27f6,ecad2386,7801e8d9,07d7df22,a99f214a,41bbaab1,e9b8d8d7,1,0,16615,320,50,1863,3,39,-1,23
65,65,6119,6529961259454193084,0,14102103,1005,0,1fbe01fe,f3845767,28905ebd,ecad2386,7801e8d9,07d7df22,a99f214a,a8536f3a,711ee120,1,0,15701,320,50,1722,0,35,-1,79
66,66,6240,7495349899682146205,0,14102103,1005,1,57fe1b20,5b626596,f028772b,ecad2386,7801e8d9,07d7df22,a99f214a,9bb126f9,ff963f16,1,0,21153,320,50,2420,2,35,-1,69
67,67,6400,8923786299672495911,0,14102103,1005,0,85f751fd,c4e18dd6,50e219e0,e2fcccd2,5c5a694b,0f2161f8,a99f214a,5eb25e6c,ae9343b5,1,0,19251,320,50,2201,3,35,-1,43
68,68,6499,9790273715522793857,0,14102103,1005,1,b9b31250,88f7ef6e,3e814130,ecad2386,7801e8d9,07d7df22,a99f214a,d1053a1d,8b1aa260,1,0,18993,320,50,2161,0,35,-1,157
69,69,6632,10726372558972090861,0,14102104,1002,0,763a42b5,4c26e9ba,50e219e0,ecad2386,7801e8d9,07d7df22,1131de05,179283db,a9b05547,0,0,17081,320,50,1921,3,47,-1,23
70,70,6708,11305441513975365300,0,14102104,1005,1,5b4d2eda,16a36ef3,f028772b,ecad2386,7801e8d9,07d7df22,a99f214a,14200f7d,05e70df4,1,0,20359,216,36,2333,0,39,100075,157
71,71,6744,11483473206503812352,0,14102104,1002,0,85f751fd,c4e18dd6,50e219e0,4e02fbd3,7801e8d9,07d7df22,e878bd82,8c3aa9c1,eb4d3131,0,0,21300,320,50,2446,3,171,100228,156
72,72,6751,11531528481570535561,0,14102104,1005,0,85f751fd,c4e18dd6,50e219e0,e2a1ca37,2347f47a,8ded1f7a,a99f214a,33cf17d9,ef726eae,1,0,21647,320,50,2487,1,547,100034,51
73,73,6769,11619220283200015380,0,14102104,1005,0,6c5b482c,7687a86e,3e814130,ecad2386,7801e8d9,07d7df22,a99f214a,4cf55065,d17a0181,1,0,17654,300,250,1994,2,39,-1,33
74,74,6879,12281174676213911793,0,14102104,1005,0,6c5b482c,7687a86e,3e814130,ecad2386,7801e8d9,07d7df22,a99f214a,f61a81b8,1b4a6f26,1,0,20346,300,250,2331,2,39,100200,23
75,75,7020,13150089695556579869,0,14102104,1005,0,1fbe01fe,f3845767,28905ebd,ecad2386,7801e8d9,07d7df22,a99f214a,b57979e3,ef726eae,1,0,15707,320,50,1722,0,35,-1,79
76,76,7204,14237381042350014062,0,14102104,1010,1,85f751fd,c4e18dd6,50e219e0,ffc6ffd0,7801e8d9,0f2161f8,9712a753,8917f384,7abbbd5c,4,0,21311,320,50,2449,0,163,100106,91
77,77,7259,1460871650274120275,0,14102104,1005,0,c96057c1,9425ad2a,3e814130,ecad2386,7801e8d9,07d7df22,a99f214a,3df9dd5d,c1a17447,1,0,8330,320,50,761,3,175,100079,23
78,78,7351,15084627741686845302,0,14102104,1005,1,57fe1b20,5b626596,f028772b,ecad2386,7801e8d9,07d7df22,a99f214a,f1b57e27,76dc4769,1,0,19950,320,50,1800,3,167,100077,23
79,79,7401,15431234099865990152,0,14102104,1005,0,9e8cf15d,0d3cb7be,f028772b,ecad2386,7801e8d9,07d7df22,a99f214a,77d7d3f2,36d749e5,1,0,21665,320,50,2493,3,35,-1,117
80,80,7506,16014687597810321,1,14102104,1005,0,85f751fd,c4e18dd6,50e219e0,e2fcccd2,5c5a694b,0f2161f8,fe58445a,ba2ba653,fce66524,1,0,20633,320,50,2374,3,39,-1,23
81,81,7532,16188930994187908616,0,14102104,1005,1,5b4d2eda,16a36ef3,f028772b,ecad2386,7801e8d9,07d7df22,a99f214a,49dff4fa,76dc4769,1,0,16208,320,50,1800,3,167,100074,23
82,82,7685,1724841785066632050,0,14102104,1005,0,85f751fd,c4e18dd6,50e219e0,85b28c93,ae637522,8ded1f7a,a99f214a,e3de9555,dc31133e,1,2,21611,320,50,2480,3,299,100111,61
83,83,7866,18439514158928075031,0,14102104,1002,0,84c7ba46,c4e18dd6,50e219e0,ecad2386,7801e8d9,07d7df22,cddeae30,bfab1667,cf19f7f7,0,0,21660,320,50,2446,3,171,100228,156
84,84,7943,2374369926638597546,0,14102104,1005,0,85f751fd,c4e18dd6,50e219e0,1fa4d1c3,2347f47a,0f2161f8,a99f214a,049a6cdd,4ea23a13,1,0,21665,320,50,2493,3,35,-1,117
85,85,7994,2683112366159788996,0,14102104,1005,1,d9750ee7,98572c79,f028772b,ecad2386,7801e8d9,07d7df22,a99f214a,e76d2dd4,84ebbcd4,1,0,17753,320,50,1993,2,1063,100083,33
86,86,8307,4752187699301804793,0,14102104,1002,0,c74e86fb,7bd4e8cc,50e219e0,ecad2386,7801e8d9,07d7df22,8b4fa91a,cfd4f055,08ac11ab,0,0,15707,320,50,1722,0,35,100083,79
87,87,8721,7551811535196765509,0,14102104,1005,1,d9750ee7,98572c79,f028772b,ecad2386,7801e8d9,07d7df22,a99f214a,340c9fb1,04f5b394,1,0,17614,320,50,1993,2,1063,100084,33
88,88,8895,8610278919029627327,0,14102104,1005,0,85f751fd,c4e18dd6,50e219e0,8feb10d4,2347f47a,0f2161f8,a99f214a,ddd2926e,dc15c87e,1,2,21665,320,50,2493,3,35,-1,117
89,89,8921,87832951531194356,1,14102104,1005,0,1fbe01fe,f3845767,28905ebd,ecad2386,7801e8d9,07d7df22,a99f214a,7f7d6a51,9dcb1cd1,1,0,15706,320,50,1722,0,35,-1,79
90,90,9074,9638480571856244016,1,14102104,1005,0,1fbe01fe,f3845767,28905ebd,ecad2386,7801e8d9,07d7df22,a99f214a,390c7e96,553f099b,1,0,15708,320,50,1722,0,35,100084,79
91,91,9090,9798177579423878936,0,14102104,1005,1,22d080df,6eb534a7,3e814130,ecad2386,7801e8d9,07d7df22,a99f214a,4b2128ef,8b1aa260,1,0,18993,320,50,2161,0,35,-1,157
92,92,9097,986364631273329963,0,14102104,1002,0,7443a906,08facbad,50e219e0,ecad2386,7801e8d9,07d7df22,7012faca,ff0825b2,911a3c09,0,0,19665,320,50,2253,2,303,-1,52
93,93,9118,9922408484231597167,0,14102104,1005,0,d6137915,bb1ef334,f028772b,ecad2386,7801e8d9,07d7df22,a99f214a,62ddcfe3,ecb851b2,1,0,16920,320,50,1899,0,431,100074,117
94,94,9189,10378020892852748535,0,14102105,1005,0,85f751fd,c4e18dd6,50e219e0,33291962,2347f47a,cef3e649,a99f214a,ac588bd1,1c6a881d,1,2,19251,320,50,2201,3,35,-1,43
95,95,9364,11343125565838060499,0,14102105,1005,0,85f751fd,c4e18dd6,50e219e0,9c13b419,2347f47a,f95efa07,a99f214a,e37b0130,d42e625d,1,0,19251,320,50,2201,3,35,-1,43
96,96,9549,12522947583924065956,0,14102105,1005,0,bb4524e7,d733bbc3,28905ebd,ecad2386,7801e8d9,07d7df22,a99f214a,3e6ba460,8a4875bd,1,0,21681,320,50,2496,3,167,100077,23
97,97,9578,12713623610329241348,1,14102105,1005,1,0a742914,510bd839,f028772b,ecad2386,7801e8d9,07d7df22,a99f214a,e7e2b029,6e1e2240,1,0,8330,320,50,761,3,175,100075,23
98,98,9647,13084230481300971740,0,14102105,1005,0,85f751fd,c4e18dd6,50e219e0,6415a993,2347f47a,0f2161f8,a99f214a,357608d1,3de05cb4,1,2,14985,320,50,1637,0,161,100046,91
99,99,9840,14418586132416955511,1,14102105,1005,0,85f751fd,c4e18dd6,50e219e0,680e6a92,2347f47a,0f2161f8,a99f214a,82b9d06c,00b1f3a7,1,0,21647,320,50,2487,1,547,-1,51
100,100,9873,14595248974417028709,0,14102105,1005,0,6399eda6,968765cd,f028772b,ecad2386,7801e8d9,07d7df22,a99f214a,0820daab,76dc4769,1,0,19950,320,50,1800,3,167,100081,23
101,101,9979,15412112212872874836,0,14102105,1005,1,636f3a62,c4e18dd6,f028772b,ecad2386,7801e8d9,07d7df22,a99f214a,4e77a816,7120e05e,1,0,19251,320,50,2201,3,35,-1,43
102,102,10110,16213950371506705008,0,14102105,1005,1,5b4d2eda,16a36ef3,f028772b,ecad2386,7801e8d9,07d7df22,a99f214a,1a92c163,04258293,1,0,20251,320,50,2323,0,687,100081,48
103,103,10231,16964857163216235990,1,14102105,1005,1,2092875a,67cf42d6,3e814130,ecad2386,7801e8d9,07d7df22,a99f214a,f0f99058,feacaaee,1,0,20596,320,50,2161,0,35,-1,157
104,104,10255,17138773299751522695,0,14102105,1005,0,85f751fd,c4e18dd6,50e219e0,36f58dec,2347f47a,f95efa07,a99f214a,6fd6d9bf,9ee2ab36,1,2,21664,320,50,2492,3,35,-1,43
105,105,10331,17609734194734387183,0,14102105,1005,0,85f751fd,c4e18dd6,50e219e0,19aaa345,d9b5648e,0f2161f8,a99f214a,58bcf67b,9b5ce758,1,0,21611,320,50,2480,3,299,100111,61
106,106,10337,17640070361168762336,0,14102105,1005,0,7294ea0f,863fa89d,3e814130,ecad2386,7801e8d9,07d7df22,a99f214a,e11793c1,aaffed8f,1,0,19251,320,50,2201,3,35,-1,43
107,107,10405,18106359802973276725,0,14102105,1005,0,85f751fd,c4e18dd6,50e219e0,2bc6bb64,7801e8d9,0f2161f8,a95326b7,4f74ef4d,5096d134,1,0,20596,320,50,2161,0,35,-1,157
108,108,10526,2289726005143262636,0,14102105,1005,0,1fbe01fe,f3845767,28905ebd,ecad2386,7801e8d9,07d7df22,a99f214a,ac77b71a,8a4875bd,1,0,15702,320,50,1722,0,35,-1,79
109,109,10645,3092273884298162946,0,14102105,1005,0,85f751fd,c4e18dd6,50e219e0,e2fcccd2,5c5a694b,0f2161f8,a57585c4,42d3b53b,ecb851b2,1,0,21647,320,50,2487,1,547,-1,51
110,110,10721,3549720419078272285,0,14102105,1005,0,b8561528,61eb5bc4,f028772b,ecad2386,7801e8d9,07d7df22,a99f214a,8c7c9072,684581ce,1,0,21690,300,250,2496,3,167,-1,23
111,111,10810,4064504606683617129,0,14102105,1005,0,6399eda6,968765cd,f028772b,ecad2386,7801e8d9,07d7df22,a99f214a,584045b4,8a4875bd,1,0,16208,320,50,1800,3,167,-1,23
112,112,10904,4671542028859438684,0,14102105,1002,0,d70360ea,39b3d1ff,50e219e0,ecad2386,7801e8d9,07d7df22,44d8df56,40dcaf0d,f384cd72,0,0,6397,320,50,549,3,39,100105,23
113,113,10943,4888159050365038110,0,14102105,1005,1,d9750ee7,98572c79,f028772b,ecad2386,7801e8d9,07d7df22,a99f214a,a5280c71,1f0bc64f,1,0,17753,320,50,1993,2,1063,-1,33
114,114,10952,4903599710950739192,1,14102105,1005,0,85f751fd,c4e18dd6,50e219e0,9c13b419,2347f47a,f95efa07,a99f214a,3645fe99,7f5cc1a6,1,0,18091,320,50,2060,3,39,-1,23
115,115,11011,5278535357002281447,1,14102105,1005,0,85f751fd,c4e18dd6,50e219e0,66f5e02e,6f7ca2ba,0f2161f8,044d64df,23b961c5,72063a8a,1,0,21664,320,50,2492,3,35,-1,43
116,116,11079,5639254517265095674,0,14102105,1005,0,1fbe01fe,f3845767,28905ebd,ecad2386,7801e8d9,07d7df22,a99f214a,e54c1344,8a4875bd,1,0,15704,320,50,1722,0,35,-1,79
117,117,11164,6146618427672189073,0,14102105,1005,0,85f751fd,c4e18dd6,50e219e0,2ca345e9,2347f47a,0f2161f8,a99f214a,49a3eabe,a0f5f879,1,0,21664,320,50,2492,3,35,-1,43
118,118,11167,6159694105680522218,1,14102105,1005,0,85f751fd,c4e18dd6,50e219e0,66f5e02e,6f7ca2ba,0f2161f8,849b039c,b837926a,5509a121,1,2,21664,320,50,2492,3,35,100202,43
119,119,11482,8100053290960481199,0,14102105,1005,0,85f751fd,c4e18dd6,50e219e0,66f5e02e,6f7ca2ba,0f2161f8,a99f214a,5d849d24,aa35da31,1,0,21664,320,50,2492,3,35,-1,43
120,120,11512,8271994277622024286,1,14102105,1002,0,85f751fd,c4e18dd6,50e219e0,0a237cf9,7801e8d9,07d7df22,bd204d0b,3ee6a6c9,a9b05547,0,0,6992,320,50,613,2,39,-1,32
121,121,11524,8316598362559026597,0,14102105,1005,0,85f751fd,c4e18dd6,50e219e0,e2fcccd2,5c5a694b,0f2161f8,a99f214a,5ce25dbb,d6e0e6ff,1,0,21647,320,50,2487,1,547,100050,51
122,122,11561,8504768270439813113,0,14102105,1005,0,e3c09f3a,d262cf1e,28905ebd,ecad2386,7801e8d9,07d7df22,a99f214a,1d0ae29a,c6263d8a,1,0,21664,320,50,2492,3,35,100202,43
123,123,11572,8555001863348507210,0,14102105,1005,0,85f751fd,c4e18dd6,50e219e0,f0d41ff1,2347f47a,0f2161f8,a99f214a,14845367,b51e0f6d,1,0,20153,320,50,2307,3,163,-1,61
124,124,11614,8822843605820925974,0,14102105,1010,1,85f751fd,c4e18dd6,50e219e0,30270b79,7801e8d9,09481d60,efe0cb34,74226415,f07e20f8,4,3,18858,320,50,1882,3,35,-1,13
125,125,11683,926607991704979831,0,14102105,1005,0,85f751fd,c4e18dd6,50e219e0,2489e1a5,2347f47a,cef3e649,bfc88944,9f9a79a8,b3f4c8ce,1,3,21690,300,250,2496,3,167,100075,23
126,126,11699,937305262894272170,0,14102105,1005,0,85f751fd,c4e18dd6,50e219e0,e2fcccd2,5c5a694b,0f2161f8,c5af9c95,82cde969,7dc3b26e,1,0,21647,320,50,2487,1,547,-1,51
127,127,11875,10559753019137086619,0,14102106,1005,0,85f751fd,c4e18dd6,50e219e0,9c13b419,2347f47a,f95efa07,a99f214a,2f03ebe1,1f0bc64f,1,0,19251,320,50,2201,3,35,-1,43
128,128,11978,11180097354798203109,0,14102106,1005,0,1fbe01fe,f3845767,28905ebd,ecad2386,7801e8d9,07d7df22,a99f214a,1d51fe6d,a9e0c3ab,1,0,15704,320,50,1722,0,35,-1,79
