click,C1,banner_pos,site_domain,site_category,app_domain,app_category,device_id,device_ip,device_model,device_type,device_conn_type,C15,C16,date,time,user_id,device_ip_count,device_id_count,user_count,user_hour_count,user_bagged
1,1005,0,225,4,11,2,336,2792,293,1,2,320,50,0,5,2162,1499,1499,1499,208,98
0,1005,0,225,4,11,2,438,1447,575,1,0,320,50,0,5,1519,1499,1499,1499,208,98
0,1002,0,225,4,12,0,484,973,570,0,0,320,50,0,5,3012,1499,1499,1499,208,11
0,1005,0,225,4,8,2,438,1436,742,1,0,320,50,0,5,1507,1499,1499,1499,208,219
1,1005,0,239,1,12,0,438,427,676,1,0,320,50,0,5,458,14,14,14,208,232
0,1005,0,225,4,3,6,265,797,123,1,0,320,50,0,6,1699,1499,1499,1499,173,1
0,1005,1,137,12,12,0,438,230,793,1,0,216,36,0,6,248,266,266,266,173,232
0,1005,0,225,4,8,2,483,2458,779,1,0,320,50,0,6,3009,1499,1499,1499,173,219
0,1005,0,225,4,3,2,641,2671,763,1,2,320,50,0,6,4007,1499,1499,1499,173,86
0,1005,0,225,4,11,2,438,1405,746,1,0,320,50,0,7,1474,1499,1499,1499,174,98
0,1005,0,225,4,3,12,438,614,639,1,0,320,50,0,7,641,1499,1499,1499,174,148
0,1005,0,41,12,12,0,438,2874,26,1,0,320,50,0,7,3028,37,37,37,174,232
1,1005,0,275,1,12,0,438,491,271,1,0,320,50,0,7,520,720,720,720,174,232
0,1005,1,83,12,12,0,438,1414,92,1,0,320,50,0,7,1482,24,24,24,174,232
0,1002,0,59,4,12,0,401,2331,246,0,0,320,50,0,7,2520,1,1,1,174,232
1,1005,0,206,12,12,0,438,113,746,1,0,320,50,0,7,119,6,6,6,174,232
0,1005,1,83,12,12,0,438,2720,453,1,0,320,50,0,7,2868,24,24,24,174,232
0,1005,1,16,12,12,0,438,1598,746,1,0,320,50,0,7,1680,27,27,27,174,232
0,1005,0,225,4,3,6,384,1435,373,1,3,320,50,0,7,2408,1499,1499,1499,174,100
0,1005,0,225,4,3,2,414,908,651,1,0,320,50,0,7,2597,1499,1499,1499,174,86
1,1005,0,275,1,12,0,438,379,453,1,0,320,50,0,7,404,720,720,720,174,232
0,1005,1,15,12,12,0,438,416,216,1,0,320,50,0,8,440,79,79,79,201,232
0,1005,1,7,12,12,0,438,2275,440,1,0,320,50,0,8,2390,30,30,30,201,232
0,1005,0,125,3,12,0,438,1892,589,1,0,300,250,0,8,1981,97,97,97,201,232
0,1005,0,178,3,12,0,438,2985,393,1,0,320,50,0,8,3149,6,6,6,201,232
0,1005,1,114,12,12,0,438,871,578,1,0,320,50,0,8,907,6,6,6,201,232
0,1002,0,243,4,12,0,283,467,541,0,0,320,50,0,8,1845,1,1,1,201,232
1,1005,0,225,4,3,9,527,3048,677,1,3,320,50,0,8,3316,1499,1499,1499,201,131
1,1005,0,225,4,28,9,438,2855,746,1,0,320,50,0,8,3003,1499,1499,1499,201,230
1,1005,0,225,4,3,12,438,1030,560,1,0,320,50,0,9,1074,1499,1499,1499,252,18
0,1005,0,216,12,12,0,438,1609,402,1,0,320,50,0,9,1690,23,23,23,252,232
0,1005,1,175,12,12,0,438,3356,805,1,0,320,50,0,9,3525,99,99,99,252,232
0,1002,0,115,4,12,0,249,25,246,0,0,300,50,0,9,1562,3,3,3,252,232
0,1005,1,142,1,12,0,438,3625,738,1,0,320,50,0,9,3821,15,15,15,252,232
0,1005,0,275,1,12,0,438,3244,322,1,2,320,50,0,10,3408,720,720,720,232,232
0,1005,0,225,4,24,2,438,1805,123,1,0,320,50,0,10,1893,1499,1499,1499,232,159
0,1005,0,225,4,8,2,438,2904,62,1,2,320,50,0,10,3067,1499,1499,1499,232,219
0,1005,0,2,12,12,0,438,54,268,1,0,320,50,0,10,58,1,1,1,232,232
0,1005,1,224,12,12,0,438,2445,532,1,0,320,50,0,10,2575,34,34,34,232,232
0,1005,1,4,2,12,0,438,2188,258,1,0,320,50,0,10,2286,4,4,4,232,232
1,1005,0,175,12,12,0,438,3171,123,1,0,320,50,0,10,3340,99,99,99,232,232
0,1002,0,232,4,12,0,304,905,77,0,0,320,50,0,10,1996,2,2,2,232,232
0,1005,1,7,12,12,0,438,3397,393,1,0,320,50,0,10,3575,30,30,30,232,232
0,1005,0,225,4,6,12,438,147,85,1,0,320,50,0,10,156,1499,1499,1499,232,14
0,1002,0,225,4,12,0,169,221,709,0,0,320,50,0,10,1042,4,4,4,232,232
0,1005,0,225,4,20,2,438,2076,777,1,2,320,50,0,10,2174,1499,1499,1499,232,211
