click,C1,banner_pos,site_id,site_domain,site_category,app_id,app_domain,app_category,device_id,device_ip,device_model,device_type,device_conn_type,C14,C15,C16,C17,C18,C19,C20,C21,day_of_week,date,time
0,1005,0,1126,794,19,2129,65,0,43137,155800,2210,1,0,20634,320,50,2374,3,39,100119,23,1,0,0
0,1005,0,1145,1680,5,1397,17,3,63523,253103,2217,1,0,20382,320,50,1740,3,943,100060,100,1,0,0
0,1005,0,890,1558,19,2129,65,0,43137,91041,745,1,0,18993,320,50,2161,0,35,-1,157,1,0,0
0,1005,0,263,2056,1,2129,65,0,43137,153503,261,1,0,15707,320,50,1722,0,35,-1,79,1,0,0
0,1005,0,1979,1327,19,2129,65,0,43137,194781,2843,1,0,17653,300,250,1994,2,39,100084,33,1,0,0
0,1005,0,263,2056,1,2129,65,0,43137,239197,1366,1,0,15701,320,50,1722,0,35,100084,79,1,0,0
1,1005,1,1918,1093,19,2129,65,0,43137,3589,3157,1,0,17037,320,50,1934,2,39,-1,16,1,0,0
0,1002,0,1381,1061,5,2129,65,0,15362,218461,2481,0,0,21688,320,50,2496,3,167,-1,23,1,0,0
0,1005,0,263,2056,1,2129,65,0,43137,205237,2358,1,0,15699,320,50,1722,0,35,-1,79,1,0,0
0,1005,0,1145,1680,5,2294,75,3,43137,188846,777,1,0,21611,320,50,2480,3,297,100111,61,1,0,0
0,1005,0,918,1375,19,2129,65,0,43137,105735,2928,1,0,20251,320,50,2323,0,687,100081,48,1,0,0
0,1005,1,1145,1680,5,158,17,3,7050,205370,3126,1,0,20596,320,50,2161,0,35,100148,157,1,0,0
0,1005,0,1145,1680,5,468,102,3,43137,114472,4277,1,0,21234,320,50,2434,3,163,100088,61,1,0,0
0,1005,0,263,2056,1,2129,65,0,43137,120728,2358,1,0,15706,320,50,1722,0,35,-1,79,1,0,0
0,1002,0,1145,1680,5,817,65,0,55296,3802,2650,0,0,20352,320,50,2333,0,39,100183,157,1,0,0
0,1005,0,263,2056,1,2129,65,0,43137,151402,3517,1,0,15702,320,50,1722,0,35,100084,79,1,0,0
0,1005,0,263,2056,1,2129,65,0,43137,104892,2889,1,0,15701,320,50,1722,0,35,100083,79,1,0,0
0,1005,1,1268,1083,2,2129,65,0,43137,161574,2685,1,0,18993,320,50,2161,0,35,100128,157,1,0,0
0,1005,0,263,2056,1,2129,65,0,43137,187233,89,1,0,15701,320,50,1722,0,35,100084,79,1,0,0
1,1005,0,451,193,1,2129,65,0,43137,126182,1139,1,0,19665,320,50,2253,2,303,-1,52,1,0,0
0,1005,0,322,1934,3,2129,65,0,43137,132281,2175,1,0,20366,320,50,2333,0,39,-1,157,1,0,0
1,1005,0,263,2056,1,2129,65,0,43137,68519,936,1,0,15708,320,50,1722,0,35,-1,79,1,0,0
1,1005,0,263,2056,1,2129,65,0,43137,165672,4293,1,0,15705,320,50,1722,0,35,100084,79,1,0,0
0,1005,0,263,2056,1,2129,65,0,43137,68296,1961,1,2,15701,320,50,1722,0,35,-1,79,1,0,0
0,1005,0,755,1712,3,2129,65,0,43137,79608,3520,1,0,20352,320,50,2333,0,39,-1,157,1,0,0
0,1005,1,1145,1680,5,65,17,3,43137,225095,690,1,0,17893,320,50,2039,2,39,100075,32,1,0,0
1,1005,0,340,1415,19,2129,65,0,43137,151797,746,1,0,20362,320,50,2333,0,39,-1,157,1,0,0
0,1005,0,1145,1680,5,96,37,24,43137,95443,2331,1,0,6616,320,50,576,2,35,100130,32,1,0,0
1,1005,0,263,2056,1,2129,65,0,43137,19305,1595,1,2,15707,320,50,1722,0,35,-1,79,1,0,0
0,1005,1,1854,1327,19,2129,65,0,43137,33532,1028,1,0,17753,320,50,1993,2,1063,-1,33,1,0,0
0,1005,0,947,1029,3,2129,65,0,43137,12860,492,1,0,17654,300,250,1994,2,39,-1,33,1,0,0
0,1005,0,263,2056,1,2129,65,0,43137,59653,3696,1,0,15708,320,50,1722,0,35,-1,79,1,0,0
0,1005,1,1854,1327,19,2129,65,0,43137,46864,4349,1,2,17614,320,50,1993,2,1063,100083,33,1,0,0
0,1005,0,804,1029,3,2129,65,0,43137,3562,158,1,0,19016,300,250,2162,2,39,100001,33,1,0,0
0,1005,0,755,1712,3,2129,65,0,43137,84521,844,1,0,20366,320,50,2333,0,39,-1,157,1,0,0
0,1005,0,1145,1680,5,1034,17,15,61041,29276,746,1,0,15017,320,50,1637,0,161,100046,91,1,0,0
0,1005,1,600,342,1,2129,65,0,43137,141250,526,1,0,15708,320,50,1722,0,35,100083,79,1,0,0
1,1005,0,1854,1327,19,2129,65,0,43137,199686,3605,1,0,17914,320,50,2043,2,39,-1,32,1,0,0
0,1005,0,263,2056,1,2129,65,0,43137,41554,526,1,0,15706,320,50,1722,0,35,-1,79,1,0,0
0,1005,0,263,2056,1,2129,65,0,43137,4437,3696,1,0,15707,320,50,1722,0,35,-1,79,1,0,0
0,1005,0,2029,2059,19,2129,65,0,43137,118138,3774,1,2,21612,320,50,2481,3,297,100111,61,1,0,0
0,1005,0,24,67,10,2129,65,0,43137,114865,615,1,0,20596,320,50,2161,0,35,-1,157,1,0,0
0,1005,0,1145,1680,5,2294,75,3,43137,75476,777,1,0,21611,320,50,2480,3,297,100111,61,1,0,0
0,1005,0,804,1029,3,2129,65,0,43137,66261,3226,1,0,19016,300,250,2162,2,39,100188,33,1,0,0
1,1005,0,263,2056,1,2129,65,0,43137,225912,2843,1,0,15705,320,50,1722,0,35,100084,79,1,0,0
0,1005,0,1145,1680,5,1396,17,24,43137,3621,1686,1,0,20148,320,50,2306,3,39,-1,23,1,0,0
0,1005,1,808,172,19,2129,65,0,43137,252704,2292,1,0,19771,320,50,2227,0,687,100075,48,1,0,0
0,1005,0,263,2056,1,2129,65,0,43137,73591,2358,1,0,15704,320,50,1722,0,35,-1,79,1,0,0
0,1005,0,263,2056,1,2129,65,0,43137,217061,492,1,0,15699,320,50,1722,0,35,-1,79,1,0,0
0,1005,0,1145,1680,5,2294,75,3,43137,76589,2923,1,0,21611,320,50,2480,3,297,100111,61,1,0,0
0,1005,0,263,2056,1,2129,65,0,43137,56916,3696,1,0,15704,320,50,1722,0,35,-1,79,1,0,0
0,1005,0,263,2056,1,2129,65,0,43137,235757,3696,1,0,15708,320,50,1722,0,35,-1,79,1,0,0
0,1005,0,755,1712,3,2129,65,0,43137,217152,2082,1,0,20352,320,50,2333,0,39,-1,157,1,0,0
0,1010,1,1145,1680,5,2302,65,3,10739,261904,4102,4,0,21665,320,50,2493,3,35,100050,117,1,0,0
0,1005,0,263,2056,1,2129,65,0,43137,186650,2358,1,0,15699,320,50,1722,0,35,-1,79,1,0,0
0,1005,0,263,2056,1,2129,65,0,43137,14133,1599,1,0,15703,320,50,1722,0,35,-1,79,1,0,0
0,1005,1,1854,1327,19,2129,65,0,43137,227347,3671,1,0,17614,320,50,1993,2,1063,-1,33,1,0,0
0,1002,0,1736,1009,5,2129,65,0,19881,117930,1571,0,0,21665,320,50,2493,3,35,100105,117,1,0,0
0,1005,0,2126,1925,1,2129,65,0,43137,10111,2143,1,0,19665,320,50,2253,2,303,-1,52,1,0,0
0,1005,0,263,2056,1,2129,65,0,43137,155079,456,1,0,15705,320,50,1722,0,35,-1,79,1,0,0
0,1005,0,1748,1601,19,2129,65,0,43137,145222,3868,1,0,20596,320,50,2161,0,35,-1,157,1,0,0
0,1005,0,263,2056,1,2129,65,0,43137,5136,3507,1,2,15701,320,50,1722,0,35,100083,79,1,0,0
0,1005,1,1918,1093,19,2129,65,0,43137,215396,1329,1,0,20352,320,50,2333,0,39,-1,157,1,0,0
0,1005,0,263,2056,1,2129,65,0,43137,227347,3277,1,0,15702,320,50,1722,0,35,-1,79,1,0,0
1,1005,0,263,2056,1,2129,65,0,43137,144197,2012,1,0,15708,320,50,1722,0,35,100083,79,1,0,0
0,1005,0,263,2056,1,2129,65,0,43137,120728,3227,1,0,15705,320,50,1722,0,35,-1,79,1,0,0
0,1002,0,266,1257,5,2129,65,0,14194,223132,679,0,0,19665,320,50,2253,2,303,-1,52,1,0,0
0,1005,1,1918,1093,19,2129,65,0,43137,50546,2267,1,0,20363,216,36,2333,0,39,-1,157,1,0,0
0,1005,2,581,1209,20,2129,65,0,43137,202395,2526,1,0,20363,216,36,2333,0,39,-1,157,1,0,0
0,1005,0,263,2056,1,2129,65,0,43137,24715,2358,1,0,15706,320,50,1722,0,35,-1,79,1,0,0
1,1005,0,1099,1215,19,2129,65,0,43137,112038,1640,1,2,20596,320,50,2161,0,35,100131,157,1,0,0
1,1005,0,263,2056,1,2129,65,0,43137,228514,4232,1,0,15704,320,50,1722,0,35,100083,79,1,0,0
1,1005,1,1918,1093,19,2129,65,0,43137,35426,2279,1,0,20363,216,36,2333,0,39,-1,157,1,0,0
0,1005,0,1145,1680,5,96,37,24,43137,240936,2082,1,0,18993,320,50,2161,0,35,-1,157,1,0,0
0,1005,0,755,1712,3,2129,65,0,43137,24872,884,1,0,20352,320,50,2333,0,39,-1,157,1,0,0
0,1005,1,600,342,1,2129,65,0,43137,159266,3277,1,0,15708,320,50,1722,0,35,-1,79,1,0,0
0,1005,0,263,2056,1,2129,65,0,43137,121703,3605,1,0,15701,320,50,1722,0,35,-1,79,1,0,0
0,1005,1,1854,1327,19,2129,65,0,43137,108329,2358,1,0,15705,320,50,1722,0,35,-1,79,1,0,0
0,1005,0,263,2056,1,2129,65,0,43137,89112,1028,1,0,15699,320,50,1722,0,35,-1,79,1,0,0
0,1005,0,1145,1680,5,1526,101,3,43137,248966,2751,1,0,1270,320,50,196,3,303,100075,15,1,0,0
0,1010,1,1145,1680,5,1772,65,3,63979,175108,4263,4,0,21665,320,50,2493,3,35,-1,117,1,0,0
1,1005,0,263,2056,1,2129,65,0,43137,29661,1255,1,0,15699,320,50,1722,0,35,-1,79,1,0,0
0,1010,1,1145,1680,5,633,65,3,9947,9607,3071,5,0,20366,320,50,2333,0,39,-1,157,1,0,0
0,1002,0,1020,656,5,2129,65,0,17130,228165,600,0,0,17894,320,50,2039,2,39,-1,32,1,0,0
0,1005,0,263,2056,1,2129,65,0,43137,110223,2358,1,0,15705,320,50,1722,0,35,-1,79,1,0,0
0,1005,0,263,2056,1,2129,65,0,43137,177021,1910,1,0,15704,320,50,1722,0,35,-1,79,1,0,0
1,1005,0,263,2056,1,2129,65,0,43137,171897,1910,1,0,15705,320,50,1722,0,35,100084,79,1,0,0
0,1005,0,263,2056,1,2129,65,0,43137,259834,526,1,0,6616,320,50,576,2,35,100130,32,1,0,0
0,1005,1,1776,1618,2,2129,65,0,43137,66177,3977,1,0,18993,320,50,2161,0,35,100128,157,1,0,0
0,1005,0,1145,1680,5,29,17,15,17217,71239,492,1,0,15706,320,50,1722,0,35,-1,79,1,0,0
0,1005,0,263,2056,1,2129,65,0,43137,210028,936,1,0,15706,320,50,1722,0,35,-1,79,1,0,0
0,1005,0,1145,1680,5,1242,100,12,49620,205210,3228,1,2,20596,320,50,2161,0,35,-1,157,1,0,0
0,1005,0,263,2056,1,2129,65,0,43137,106783,1910,1,0,15708,320,50,1722,0,35,-1,79,1,0,0
0,1002,0,1145,1680,5,704,65,0,14521,197387,4016,0,0,21300,320,50,2446,3,171,100228,156,1,0,0
0,1005,0,755,1712,3,2129,65,0,43137,257043,2796,1,0,20366,320,50,2333,0,39,-1,157,1,0,0
0,1005,0,263,2056,1,2129,65,0,43137,256374,2059,1,2,15707,320,50,1722,0,35,100083,79,1,0,0
0,1005,0,263,2056,1,2129,65,0,43137,142170,3696,1,0,15699,320,50,1722,0,35,100084,79,1,0,0
0,1005,1,727,541,3,2129,65,0,43137,221834,930,1,0,19772,320,50,2227,0,687,-1,48,1,0,0
0,1010,1,1145,1680,5,2302,65,3,8741,53628,4102,4,0,21665,320,50,2493,3,35,100050,117,1,0,0
1,1005,0,947,1029,3,2129,65,0,43137,187428,2233,1,0,20346,300,250,2331,2,39,-1,23,1,0,0
0,1005,1,944,1529,8,2129,65,0,43137,93658,2464,1,2,21400,320,50,1401,0,43,100101,94,1,0,0
0,1005,1,1854,1327,19,2129,65,0,43137,107783,2358,1,0,15702,320,50,1722,0,35,-1,79,1,0,0
0,1005,1,2182,950,3,2129,65,0,43137,210387,1329,1,0,20596,320,50,2161,0,35,100039,157,1,0,0
1,1005,0,1145,1680,5,2294,75,3,43137,54045,3564,1,0,21611,320,50,2480,3,297,100111,61,1,0,0
0,1005,0,263,2056,1,2129,65,0,43137,19859,559,1,0,15703,320,50,1722,0,35,100083,79,1,0,0
0,1005,0,1145,1680,5,1127,17,3,53371,197736,247,1,2,20596,320,50,2161,0,35,100034,157,1,0,0
0,1005,0,1145,1680,5,375,128,3,43137,235308,2923,1,0,21234,320,50,2434,3,163,100086,61,1,0,0
0,1005,0,877,356,19,2129,65,0,43137,250142,3696,1,0,17212,320,50,1887,3,39,100199,23,1,0,0
0,1005,0,263,2056,1,2129,65,0,43137,68713,1329,1,0,15707,320,50,1722,0,35,-1,79,1,0,0
0,1005,0,1145,1680,5,1396,17,24,43137,139890,3227,1,0,20633,320,50,2374,3,39,-1,23,1,0,0
1,1002,0,1136,1680,5,2129,65,0,18408,200361,3540,0,0,21661,320,50,2446,3,171,100228,156,1,0,0
0,1005,1,1939,1417,3,2129,65,0,43137,158562,4044,1,0,19950,320,50,1800,3,167,100075,23,1,0,0
0,1005,0,755,1712,3,2129,65,0,43137,128825,3206,1,0,20362,320,50,2333,0,39,-1,157,1,0,0
1,1005,0,263,2056,1,2129,65,0,43137,77979,1678,1,0,15708,320,50,1722,0,35,100084,79,1,0,0
0,1005,0,263,2056,1,2129,65,0,43137,193331,3507,1,2,15702,320,50,1722,0,35,-1,79,1,0,0
0,1005,0,263,2056,1,2129,65,0,43137,172673,936,1,0,15707,320,50,1722,0,35,-1,79,1,0,0
0,1002,0,39,1257,5,2129,65,0,64808,192177,2481,0,0,19665,320,50,2253,2,303,100221,52,1,0,0
0,1002,0,1444,690,5,2129,65,0,51335,204088,4253,0,0,16989,320,50,1926,2,39,-1,13,1,0,0
0,1005,0,733,1279,19,2129,65,0,43137,30032,532,1,0,18993,320,50,2161,0,35,-1,157,1,0,0
0,1005,0,263,2056,1,2129,65,0,43137,144560,359,1,0,15699,320,50,1722,0,35,-1,79,1,0,0
0,1005,1,808,172,19,2129,65,0,43137,5068,3227,1,0,20362,320,50,2333,0,39,-1,157,1,0,0
0,1005,0,291,1044,19,2129,65,0,43137,168460,1553,1,0,20362,320,50,2333,0,39,-1,157,1,0,0
0,1005,0,263,2056,1,2129,65,0,43137,172537,615,1,0,15703,320,50,1722,0,35,100084,79,1,0,0
0,1005,1,998,594,3,2129,65,0,43137,128384,2464,1,2,20596,320,50,2161,0,35,100034,157,1,0,0
0,1005,0,1145,1680,5,1442,17,12,43137,163455,4044,1,0,18993,320,50,2161,0,35,-1,157,1,0,0
1,1005,1,837,180,19,2129,65,0,43137,186542,2012,1,0,20005,320,50,2283,0,163,-1,95,1,0,0
0,1005,1,1854,1327,19,2129,65,0,43137,208557,2135,1,0,17753,320,50,1993,2,1063,100084,33,1,0,0
1,1005,0,263,2056,1,2129,65,0,43137,201927,2751,1,0,15701,320,50,1722,0,35,100084,79,1,0,0
1,1005,0,263,2056,1,2129,65,0,43137,251084,3228,1,2,15705,320,50,1722,0,35,100084,79,1,0,0
0,1005,0,24,67,10,2129,65,0,43137,115670,2135,1,0,18993,320,50,2161,0,35,-1,157,1,0,0
0,1005,0,303,937,19,2129,65,0,43137,197077,1613,1,0,19771,320,50,2227,0,687,100079,48,1,0,0
0,1010,1,1145,1680,5,717,65,3,24752,204475,4044,4,2,21665,320,50,2493,3,35,-1,117,1,0,0
0,1005,1,808,172,19,2129,65,0,43137,143529,2358,1,0,20362,320,50,2333,0,39,100074,157,1,0,0
0,1005,1,1918,1093,19,2129,65,0,43137,230371,3696,1,0,17262,320,50,1872,3,39,-1,23,1,0,0
0,1010,1,1145,1680,5,1256,65,3,55569,4607,1278,5,0,21665,320,50,2493,3,35,-1,117,1,0,0
0,1005,0,1145,1680,5,1939,17,15,55226,154782,3696,1,0,16615,320,50,1863,3,39,-1,23,1,0,0
0,1005,1,808,172,19,2129,65,0,43137,55651,2358,1,0,20352,320,50,2333,0,39,100074,157,1,0,0
0,1005,0,1145,1680,5,496,17,21,62278,197050,3685,1,2,20596,320,50,2161,0,35,100148,157,1,0,0
0,1005,0,263,2056,1,2129,65,0,43137,143682,261,1,0,15703,320,50,1722,0,35,100084,79,1,0,0
0,1005,0,1145,1680,5,1723,17,3,34436,176038,2082,1,2,20596,320,50,2161,0,35,100148,157,1,0,0
0,1005,1,1256,46,3,2129,65,0,43137,243663,2464,1,2,20596,320,50,2161,0,35,-1,157,1,0,0
0,1005,0,263,2056,1,2129,65,0,43137,101257,526,1,0,15699,320,50,1722,0,35,-1,79,1,0,0
0,1005,0,263,2056,1,2129,65,0,43137,30136,526,1,0,15705,320,50,1722,0,35,-1,79,1,0,0
0,1005,0,263,2056,1,2129,65,0,43137,107080,3450,1,0,15703,320,50,1722,0,35,-1,79,1,0,0
0,1005,1,808,172,19,2129,65,0,43137,145067,1853,1,0,20352,320,50,2333,0,39,100188,157,1,0,0
0,1005,0,1145,1680,5,2294,75,3,43137,99093,2614,1,0,21611,320,50,2480,3,297,100111,61,1,0,0
0,1005,0,755,1712,3,2129,65,0,43137,236251,877,1,0,20352,320,50,2333,0,39,-1,157,1,0,0
0,1005,0,263,2056,1,2129,65,0,43137,107687,1678,1,0,15706,320,50,1722,0,35,100083,79,1,0,0
0,1005,0,263,2056,1,2129,65,0,43137,253185,2399,1,0,15704,320,50,1722,0,35,100084,79,1,0,0
0,1005,0,517,200,2,2129,65,0,43137,37893,2267,1,0,18993,320,50,2161,0,35,-1,157,1,0,0
0,1005,0,263,2056,1,2129,65,0,43137,79972,3507,1,2,15701,320,50,1722,0,35,100084,79,1,0,0
1,1005,0,263,2056,1,2129,65,0,43137,118613,3861,1,2,15705,320,50,1722,0,35,100083,79,1,0,0
0,1005,0,263,2056,1,2129,65,0,43137,113244,1028,1,0,15707,320,50,1722,0,35,100083,79,1,0,0
0,1005,0,755,1712,3,2129,65,0,43137,112140,4180,1,0,20366,320,50,2333,0,39,-1,157,1,0,0
0,1005,0,1145,1680,5,67,74,3,43137,118271,1910,1,0,15706,320,50,1722,0,35,-1,79,1,0,0
0,1005,0,263,2056,1,2129,65,0,43137,51280,3372,1,0,15701,320,50,1722,0,35,-1,79,1,0,0
0,1005,0,731,1504,19,2129,65,0,43137,199438,3700,1,0,19878,320,50,2271,0,687,100077,48,1,0,0
1,1005,0,263,2056,1,2129,65,0,43137,172809,4232,1,0,15703,320,50,1722,0,35,-1,79,1,0,0
0,1005,0,263,2056,1,2129,65,0,43137,91267,1718,1,0,15705,320,50,1722,0,35,-1,79,1,0,0
0,1005,0,1145,1680,5,846,17,3,43137,179356,2943,1,0,21611,320,50,2480,3,297,100111,61,1,0,0
0,1005,0,1145,1680,5,757,17,15,44810,11747,1753,1,2,18993,320,50,2161,0,35,-1,157,1,0,0
1,1005,0,1145,1680,5,759,17,3,14066,204880,1766,1,0,21609,216,36,2480,3,297,100111,61,1,0,0
0,1005,0,263,2056,1,2129,65,0,43137,114553,554,1,0,15703,320,50,1722,0,35,-1,79,1,0,0
0,1005,1,808,172,19,2129,65,0,43137,256003,2012,1,0,16071,320,50,1784,2,175,100074,95,1,0,0
0,1005,1,1966,1406,3,2129,65,0,43137,8563,2464,1,2,18993,320,50,2161,0,35,-1,157,1,0,0
0,1005,0,263,2056,1,2129,65,0,43137,227933,2928,1,0,15702,320,50,1722,0,35,100084,79,1,0,0
0,1005,0,263,2056,1,2129,65,0,43137,209712,1028,1,0,15702,320,50,1722,0,35,100084,79,1,0,0
0,1005,0,1331,1874,19,2129,65,0,43137,150414,4087,1,0,20596,320,50,2161,0,35,-1,157,1,0,0
1,1005,1,206,1900,19,2129,65,0,43137,195358,1702,1,0,17894,320,50,2039,2,39,100075,32,1,0,0
1,1005,0,263,2056,1,2129,65,0,43137,172809,526,1,0,15708,320,50,1722,0,35,-1,79,1,0,0
1,1005,0,263,2056,1,2129,65,0,43137,228187,2665,1,0,15706,320,50,1722,0,35,-1,79,1,0,0
0,1005,0,263,2056,1,2129,65,0,43137,4842,1366,1,0,15707,320,50,1722,0,35,-1,79,1,0,0
0,1010,1,1145,1680,5,2302,65,3,38896,156824,4102,4,0,21665,320,50,2493,3,35,100048,117,1,0,0
0,1005,0,2060,855,19,2129,65,0,43137,249897,526,1,0,18993,320,50,2161,0,35,-1,157,1,0,0
0,1005,0,755,1712,3,2129,65,0,43137,243072,3696,1,0,20362,320,50,2333,0,39,-1,157,1,0,0
0,1005,0,263,2056,1,2129,65,0,43137,8988,1366,1,0,15706,320,50,1722,0,35,-1,79,1,0,0
1,1005,0,1979,1327,19,2129,65,0,43137,214613,2843,1,0,17654,300,250,1994,2,39,-1,33,1,0,0
0,1005,0,263,2056,1,2129,65,0,43137,110223,2358,1,0,15702,320,50,1722,0,35,-1,79,1,0,0
0,1005,0,1145,1680,5,344,17,3,61898,207827,4293,1,3,20632,320,50,2374,3,39,-1,23,1,0,0
0,1005,0,263,2056,1,2129,65,0,43137,93498,1910,1,0,15705,320,50,1722,0,35,-1,79,1,0,0
0,1005,0,755,1712,3,2129,65,0,43137,228731,3520,1,0,20366,320,50,2333,0,39,-1,157,1,0,0
